date,latitude,longitude,area_tagged,sex,maturity,deployid
2012-05-11,-33.88975,23.54125,Gansbaai,M,Juvenile,Albert
2012-05-12,-34.385999999999996,21.042,Gansbaai,M,Juvenile,Albert
2012-05-13,-34.36533333333333,21.761499999999998,Gansbaai,M,Juvenile,Albert
2012-05-14,-34.173249999999996,22.177500000000002,Gansbaai,M,Juvenile,Albert
2012-05-15,-34.148,22.126,Gansbaai,M,Juvenile,Albert
2012-05-16,-34.19385714285714,22.098714285714287,Gansbaai,M,Juvenile,Albert
2012-05-17,-34.169333333333334,22.06566666666667,Gansbaai,M,Juvenile,Albert
2012-05-19,-34.201499999999996,22.119999999999997,Gansbaai,M,Juvenile,Albert
2012-05-20,-34.23625,22.107,Gansbaai,M,Juvenile,Albert
2012-05-21,-34.45683333333333,22.359166666666667,Gansbaai,M,Juvenile,Albert
2012-05-22,-34.288333333333334,22.02133333333333,Gansbaai,M,Juvenile,Albert
2012-05-25,-34.1572,22.1448,Gansbaai,M,Juvenile,Albert
2012-05-29,-34.0715,22.328500000000002,Gansbaai,M,Juvenile,Albert
2012-05-30,-34.062,22.374000000000002,Gansbaai,M,Juvenile,Albert
2012-06-02,-34.02557142857143,23.78642857142857,Gansbaai,M,Juvenile,Albert
2012-06-03,-34.063500000000005,24.1985,Gansbaai,M,Juvenile,Albert
2012-06-04,-34.165,24.924000000000003,Gansbaai,M,Juvenile,Albert
2012-06-05,-34.02871428571429,25.47828571428571,Gansbaai,M,Juvenile,Albert
2012-06-06,-33.9456,25.786,Gansbaai,M,Juvenile,Albert
2012-06-09,-33.851,26.297,Gansbaai,M,Juvenile,Albert
2012-06-10,-33.821,26.2044,Gansbaai,M,Juvenile,Albert
2012-06-12,-33.7965,26.19275,Gansbaai,M,Juvenile,Albert
2012-06-13,-33.876285714285714,26.377000000000002,Gansbaai,M,Juvenile,Albert
2012-06-15,-34.082,25.737,Gansbaai,M,Juvenile,Albert
2012-06-16,-34.120799999999996,25.7848,Gansbaai,M,Juvenile,Albert
2012-06-18,-33.914,26.051000000000002,Gansbaai,M,Juvenile,Albert
2012-06-20,-33.842666666666666,26.276666666666667,Gansbaai,M,Juvenile,Albert
2012-06-21,-33.839,26.242399999999996,Gansbaai,M,Juvenile,Albert
2012-06-22,-33.81733333333333,26.185666666666666,Gansbaai,M,Juvenile,Albert
2012-06-23,-33.8144,26.405399999999997,Gansbaai,M,Juvenile,Albert
2012-06-24,-33.80283333333333,26.34166666666667,Gansbaai,M,Juvenile,Albert
2012-06-26,-33.78,26.34,Gansbaai,M,Juvenile,Albert
2012-06-27,-33.87488888888888,26.502222222222223,Gansbaai,M,Juvenile,Albert
2012-06-28,-33.9245,26.5175,Gansbaai,M,Juvenile,Albert
2012-06-29,-33.9495,26.508,Gansbaai,M,Juvenile,Albert
2012-06-30,-33.99516666666667,26.337999999999997,Gansbaai,M,Juvenile,Albert
2012-07-01,-33.815333333333335,26.072666666666667,Gansbaai,M,Juvenile,Albert
2012-07-04,-33.790800000000004,26.185000000000002,Gansbaai,M,Juvenile,Albert
2012-07-05,-33.883,26.482,Gansbaai,M,Juvenile,Albert
2012-07-07,-33.805,26.195999999999998,Gansbaai,M,Juvenile,Albert
2012-07-08,-33.830666666666666,26.434,Gansbaai,M,Juvenile,Albert
2012-07-09,-33.9022,26.6898,Gansbaai,M,Juvenile,Albert
2012-07-10,-33.87166666666666,26.592166666666667,Gansbaai,M,Juvenile,Albert
2012-07-11,-33.89566666666666,26.271833333333333,Gansbaai,M,Juvenile,Albert
